chunk_id,parent_id,source,chunk_type,title,location,industry,text,metadata
jd_1_header,1,jd,jd_header,administrator (support & operations),"pune, india",information technology & services,"Job Title:
administrator (support & operations)

Industry:
information technology & services

Location:
pune, india","{""chunk_type"": ""jd_header"", ""industry"": ""information technology & services"", ""job_title"": ""administrator (support & operations)"", ""location"": ""pune, india"", ""parent_id"": ""1"", ""source"": ""jd""}"
jd_1_responsibilities,1,jd,jd_responsibilities,administrator (support & operations),"pune, india",information technology & services,"Responsibilities:
- independently resolve it support tickets within agreed slas, ensuring timely and effective solutions.
- provide on-call support for escalated incidents, demonstrating ownership and urgency.
- conduct root cause analysis for recurring issues to drive incident reduction and process improvements.
- maintain and update the internal knowledge base to enhance team capability and service quality.
- mentor and train new team members and analysts, fostering a collaborative and high-performing environment.
- adhere to quality standards, regulatory requirements, and company policies in all operational activities.
- ensure a positive customer experience by achieving high first call resolution rates and minimizing ticket reopens or rejected resolutions.
- participate in value-adding initiatives, such as process optimization and cross-functional projects.","{""chunk_type"": ""jd_responsibilities"", ""industry"": ""information technology & services"", ""item_count"": 8, ""job_title"": ""administrator (support & operations)"", ""location"": ""pune, india"", ""parent_id"": ""1"", ""section"": ""responsibilities"", ""source"": ""jd""}"
jd_1_skills,1,jd,jd_skills,administrator (support & operations),"pune, india",information technology & services,"Must Have Skills:
- ability to work independently and manage multiple priorities.
- commitment to delivering high-quality customer service.

Soft Skills:
- strong analytical and problem-solving skills.
- excellent communication and interpersonal abilities.
- flexibility to work in night shifts and on-call rotations.","{""chunk_type"": ""jd_skills"", ""industry"": ""information technology & services"", ""job_title"": ""administrator (support & operations)"", ""location"": ""pune, india"", ""must_have_skills"": [""ability to work independently and manage multiple priorities."", ""commitment to delivering high-quality customer service.""], ""parent_id"": ""1"", ""preferred_skills"": [], ""soft_skills"": [""strong analytical and problem-solving skills."", ""excellent communication and interpersonal abilities."", ""flexibility to work in night shifts and on-call rotations.""], ""source"": ""jd"", ""technologies"": [], ""tools"": []}"
jd_1_qualification,1,jd,jd_qualification,administrator (support & operations),"pune, india",information technology & services,"Education:
- bachelor’s degree in computer science, information technology, or a related field (preferred).

Experience:
- prior experience in it support, operations, or a similar role is advantageous but not mandatory.
- experience with ticketing tools and itsm platforms (e.g., servicenow, remedy) is a plus.
- exposure to knowledge management and process improvement initiatives is desirable.

Certifications:
- certifications such as itil foundation or similar are beneficial.","{""certifications"": [""certifications such as itil foundation or similar are beneficial.""], ""chunk_type"": ""jd_qualification"", ""education"": [""bachelor’s degree in computer science, information technology, or a related field (preferred).""], ""experience"": [""prior experience in it support, operations, or a similar role is advantageous but not mandatory."", ""experience with ticketing tools and itsm platforms (e.g., servicenow, remedy) is a plus."", ""exposure to knowledge management and process improvement initiatives is desirable.""], ""industry"": ""information technology & services"", ""job_title"": ""administrator (support & operations)"", ""location"": ""pune, india"", ""parent_id"": ""1"", ""source"": ""jd""}"
jd_2_header,2,jd,jd_header,analyst,n/a (india),information technology / technology solutions,"Job Title:
analyst

Industry:
information technology / technology solutions

Location:
n/a (india)","{""chunk_type"": ""jd_header"", ""industry"": ""information technology / technology solutions"", ""job_title"": ""analyst"", ""location"": ""n/a (india)"", ""parent_id"": ""2"", ""source"": ""jd""}"
jd_2_responsibilities,2,jd,jd_responsibilities,analyst,n/a (india),information technology / technology solutions,"Responsibilities:
- design, develop, and maintain robust applications for ios, android, and java platforms, ensuring superior performance and user experience.
- collaborate with multidisciplinary teams to define, design, and launch new features in alignment with project goals and client requirements.
- conduct thorough unit testing of code to ensure robustness, usability, and reliability, addressing edge cases and performance bottlenecks.
- continuously research, evaluate, and implement new technologies and tools to enhance development efficiency and maintain competitive advantage.
- troubleshoot, debug, and optimize existing applications, driving ongoing enhancements and maintenance.
- ensure the best possible performance, quality, and responsiveness of applications delivered to clients.
- participate actively in code reviews, knowledge sharing sessions, and process improvement initiatives within the team.","{""chunk_type"": ""jd_responsibilities"", ""industry"": ""information technology / technology solutions"", ""item_count"": 7, ""job_title"": ""analyst"", ""location"": ""n/a (india)"", ""parent_id"": ""2"", ""section"": ""responsibilities"", ""source"": ""jd""}"
jd_2_skills,2,jd,jd_skills,analyst,n/a (india),information technology / technology solutions,"Must Have Skills:
- thorough understanding of the full mobile development lifecycle.

Soft Skills:
- excellent problem-solving skills with strong attention to detail.
- effective communication and collaboration skills to work within diverse teams.

Technologies:
- proficiency in ios app development using swift and xcode.
- strong understanding of java programming for backend and web application development.
- knowledge of additional programming languages or cross-platform frameworks (e.g., flutter, react native) is a plus.

Tools:
- familiarity with version control systems such as git.","{""chunk_type"": ""jd_skills"", ""industry"": ""information technology / technology solutions"", ""job_title"": ""analyst"", ""location"": ""n/a (india)"", ""must_have_skills"": [""thorough understanding of the full mobile development lifecycle.""], ""parent_id"": ""2"", ""preferred_skills"": [], ""soft_skills"": [""excellent problem-solving skills with strong attention to detail."", ""effective communication and collaboration skills to work within diverse teams.""], ""source"": ""jd"", ""technologies"": [""proficiency in ios app development using swift and xcode."", ""strong understanding of java programming for backend and web application development."", ""knowledge of additional programming languages or cross-platform frameworks (e.g., flutter, react native) is a plus.""], ""tools"": [""familiarity with version control systems such as git.""]}"
jd_2_qualification,2,jd,jd_qualification,analyst,n/a (india),information technology / technology solutions,"Education:
- bachelor’s degree in computer science, information technology, or a related field (or equivalent practical experience).

Experience:
- solid experience in android development with java and android studio.
- experience integrating restful apis to connect applications with backend services.
- experience with agile development methodologies.
- exposure to cloud-based deployment or devops practices.","{""certifications"": [], ""chunk_type"": ""jd_qualification"", ""education"": [""bachelor’s degree in computer science, information technology, or a related field (or equivalent practical experience).""], ""experience"": [""solid experience in android development with java and android studio."", ""experience integrating restful apis to connect applications with backend services."", ""experience with agile development methodologies."", ""exposure to cloud-based deployment or devops practices.""], ""industry"": ""information technology / technology solutions"", ""job_title"": ""analyst"", ""location"": ""n/a (india)"", ""parent_id"": ""2"", ""source"": ""jd""}"
jd_3_header,3,jd,jd_header,analyst,n/a (united kingdom),multinational technology provider,"Job Title:
analyst

Industry:
multinational technology provider

Location:
n/a (united kingdom)","{""chunk_type"": ""jd_header"", ""industry"": ""multinational technology provider"", ""job_title"": ""analyst"", ""location"": ""n/a (united kingdom)"", ""parent_id"": ""3"", ""source"": ""jd""}"
jd_3_responsibilities,3,jd,jd_responsibilities,analyst,n/a (united kingdom),multinational technology provider,"Responsibilities:
- design, develop, test, and deploy high-quality software solutions using java, node.js, microservices, and aws.
- collaborate with cross-functional teams to define, develop, and launch new features and enhancements aligned with business objectives.
- troubleshoot, debug, and optimize applications to ensure peak performance, reliability, and scalability.
- implement robust security and data protection measures throughout the application lifecycle.
- participate in code reviews, ensuring adherence to best practices, coding standards, and continuous improvement.
- prepare and maintain comprehensive technical documentation, and assist in user training and onboarding.
- stay current with emerging technologies and industry trends to drive innovation and best practices within the team.","{""chunk_type"": ""jd_responsibilities"", ""industry"": ""multinational technology provider"", ""item_count"": 7, ""job_title"": ""analyst"", ""location"": ""n/a (united kingdom)"", ""parent_id"": ""3"", ""section"": ""responsibilities"", ""source"": ""jd""}"
